マイルドなH.O,5
1.80,db_g
6.44,na
8.74,s
9.17,sd
10.10,da
12.07,sd
12.94,nb_c
13.57,nb_c
14.47,ba
15.04,s
16.27,DA
17.20,s
17.87,dt
18.37,nb_c
20.80,g
21.00,fth
21.67,bc
24.17,nb_c
25.34,s
26.87,db_g
28.04,DA
30.17,nb_a
32.51,dt
32.84,db_g
34.27,st
35.11,nb_c
35.51,ba
35.87,ba
37.44,g
37.64,fth
38.97,na
39.47,fa
41.51,fa
42.61,s
47.58,ub_a
49.11,fa
53.55,na
53.94,DA
54.74,g
55.01,fth
56.18,dc
56.88,ub_a
59.91,ba
62.81,na
63.74,ub_a
65.51,ua
66.71,db_a
67.44,ub_a
70.28,ub_a
77.28,na
78.51,ba
79.48,db_a
81.41,ba
86.65,st
86.85,st
87.05,st
88.05,ss
88.42,dt
89.92,ua
90.92,s
91.18,s
92.18,db_a
93.25,nb_c
94.08,db_g
95.55,st
100.92,ba
104.25,ba
104.62,na
107.18,ad
