マイルドなH.O,2
0.97,nb_c
1.93,ba
2.94,db_g
3.80,dt
4.43,s
5.13,ba
6.47,na
8.17,nb_c
8.77,ba
9.54,ad
11.34,db_g
13.10,nb_c
14.40,nb_c
15.74,ba
16.80,ba
17.30,ba
18.64,fa
20.74,ut
21.80,na
22.97,dt
24.20,na
26.04,ub_a
29.17,nb_c
31.10,sd
32.51,ba
33.34,nb_c
34.57,DA
36.01,st
37.07,nb_c
38.64,DA
38.97,st
39.91,nb_a
40.77,ub_a
41.71,ub_a
44.94,ba
46.21,ua
46.47,ua
48.11,ua
50.11,ua
50.81,ua
51.61,ba
54.08,db_a
55.18,na
58.21,s
59.88,ds
60.68,nb_c
65.74,sd
66.18,DA
69.11,ad
72.75,g
73.98,db_g
77.78,db_a
79.85,s
82.55,ba
83.65,ub_a
86.21,da
88.05,ba
89.98,ba
91.22,ad
91.88,ba
92.25,ua
92.65,ua
94.42,st
95.25,dt
95.88,ba
99.05,fa
107.08,ba
108.22,g
110.02,ad
111.39,nd
114.85,na
116.72,sd
117.05,s
118.12,s
122.49,ub_a
123.49,ub_a
127.46,s
130.02,db_a
134.12,us
136.36,sb
138.02,ad
139.59,s
141.39,g
142.29,g
143.62,fth
144.99,fc
145.49,ub_a
148.39,na
149.76,db_a
151.69,ba
152.89,ub_a
157.63,db_a
161.16,db_g
165.00,ba
166.13,ba
166.56,ba
