マイルドなH.O,1
3.30,nb_c
3.93,nb_c
5.50,g
5.93,fth
6.63,uc
7.57,ua
8.77,ba
10.24,s
11.27,dt
11.74,dt
12.77,ba
14.60,dt
15.70,nb_c
16.74,ba
19.57,ba
20.87,ad
21.84,ub_a
23.44,na
24.47,ub_a
25.64,nb_c
29.54,na
31.71,s
32.67,g
32.97,fth
33.37,uc
35.77,ba
36.01,ba
36.37,ba
37.34,s
38.21,sd
39.74,dt
40.71,DA
41.91,fa
43.17,ba
44.54,na
45.54,dt
45.81,st
47.37,ad
48.97,ub_a
53.38,DA
55.14,na
56.21,sb
58.41,na
59.64,st
60.48,s
61.74,nb_a
64.08,ba
64.41,ba
65.58,ub_a
66.84,nb_c
70.48,dt
70.85,ut
71.61,s
74.91,nb_c
76.18,db_g
78.91,ba
79.78,nb_c
81.18,sd
83.08,ba
86.28,ad
87.45,dt
88.85,nb_c
89.15,ub_a
91.85,ba
92.58,ub_a
93.72,ad
94.92,ua
96.08,ba
96.72,ub_a
101.85,nb_c
103.28,db_g
104.35,nb_c
105.28,na
108.12,ad
111.05,na
112.95,ba
113.25,ba
113.92,ub_a
116.12,db_a
117.72,ad
