マイルドなH.O,4
1.17,nb_c
2.03,g
2.70,fth
3.07,uc
4.27,ba
5.17,g
5.50,fth
5.84,uc
6.40,na
7.10,ba
8.47,na
10.67,na
12.17,sd
12.64,nb_c
13.37,db_a
14.04,sb
15.00,nb_c
15.60,db_g
16.17,db_g
17.24,nb_c
18.27,db_a
19.74,db_a
21.20,ss
22.97,DA
24.64,st
24.90,dt
26.20,da
26.54,na
27.54,nb_c
28.64,nb_c
30.27,s
31.30,nb_c
33.04,fa
33.31,g
34.27,fth
36.14,ba
37.47,st
37.97,ba
39.17,DA
39.54,db_a
42.17,fa
43.31,ub_a
46.71,na
47.94,na
51.28,ub_a
55.04,nb_c
55.21,nb_c
57.04,sd
60.78,ba
62.04,ub_a
63.68,nb_a
64.91,s
65.75,g
66.11,fth
67.28,uc
67.75,ba
69.11,dt
69.41,dt
70.05,ub_g
74.05,ba
74.25,ba
74.81,ub_a
77.18,st
78.08,s
78.48,ba
80.78,db_a
81.62,us
84.31,ad
85.15,ub_a
87.21,nb_c
88.55,ba
89.75,na
